攝像機,圖像文件名,說明,影像位置 - 東經坐標數值*,影像位置 - 北緯坐標數值*,網址
SW113F,SW113F.JPG,元朗公路近博愛交匯處,822114,833747,http://tdcctv.data.one.gov.hk/SW113F.JPG
TI101F,TI101F.JPG,青山公路近洪水橋,818090,832902,http://tdcctv.data.one.gov.hk/TI101F.JPG
TM101F,TM101F.JPG,湖翠路近湖景路,814526,826116,http://tdcctv.data.one.gov.hk/TM101F.JPG
TM103F,TM103F.JPG,龍門路近屯門康樂體育中心,814447,827250,http://tdcctv.data.one.gov.hk/TM103F.JPG
TM118F,TM118F.JPG,杯渡路近屯門公園,815352,828319,http://tdcctv.data.one.gov.hk/TM118F.JPG
TR704F,TR704F.JPG,屯門公路近青賢街,815621,828752,http://tdcctv.data.one.gov.hk/TR704F.JPG
YL101F,YL101F.JPG,朗天路近朗屏路,819746,834085,http://tdcctv.data.one.gov.hk/YL101F.JPG
YL106F,YL106F.JPG,青山公路近元朗,821368,833929,http://tdcctv.data.one.gov.hk/YL106F.JPG
YL111F,YL111F.JPG,青山公路近博愛交匯處,821917,833889,http://tdcctv.data.one.gov.hk/YL111F.JPG
BC702F,BC702F.JPG,青山公路近米埔,824086,838533,http://tdcctv.data.one.gov.hk/BC702F.JPG
TP113F,TP113F.JPG,粉嶺公路近康樂園路,833366,835885,http://tdcctv.data.one.gov.hk/TP113F.JPG
FH706F,FH706F.JPG,粉嶺公路近港鐵粉嶺站,832352,839113,http://tdcctv.data.one.gov.hk/FH706F.JPG
ST922F,ST922F.JPG,獅子山隧道公路近紅梅谷路,836845,825101,http://tdcctv.data.one.gov.hk/ST922F.JPG
SW103F,SW103F.JPG,港深西部公路近廈村,815876,834298,http://tdcctv.data.one.gov.hk/SW103F.JPG
SW108F,SW108F.JPG,元朗公路近丹桂村,817746,831659,http://tdcctv.data.one.gov.hk/SW108F.JPG
TL102F,TL102F.JPG,大欖隧道元朗入口,824319,830139,http://tdcctv.data.one.gov.hk/TL102F.JPG
TL103F,TL103F.JPG,大欖隧道汀九入口,824981,826211,http://tdcctv.data.one.gov.hk/TL103F.JPG
TS102F,TS102F.JPG,南灣隧道昂船洲大橋入口,829111,821664,http://tdcctv.data.one.gov.hk/TS102F.JPG
TS104F,TS104F.JPG,青沙公路近荔枝角,832851,822646,http://tdcctv.data.one.gov.hk/TS104F.JPG
TS105F,TS105F.JPG,沙田嶺隧道沙田入口,835713,825356,http://tdcctv.data.one.gov.hk/TS105F.JPG
TW701F,TW701F.JPG,象鼻山路近美環街,829717,826375,http://tdcctv.data.one.gov.hk/TW701F.JPG
H702F,H702F.JPG,干諾道西,832629,816766,http://tdcctv.data.one.gov.hk/H702F.JPG
H703F,H703F.JPG,西區海底隧道香港入口,832480,816741,http://tdcctv.data.one.gov.hk/H703F.JPG
K901F,K901F.JPG,西區海底隧道九龍入口,834394,818348,http://tdcctv.data.one.gov.hk/K901F.JPG
K931F,K931F.JPG,大老山隧道九龍入口,839086,822485,http://tdcctv.data.one.gov.hk/K931F.JPG
K952F,K952F.JPG,東區海底隧道九龍入口,842183,818178,http://tdcctv.data.one.gov.hk/K952F.JPG
ST942F,ST942F.JPG,大老山隧道沙田入口,839632,826938,http://tdcctv.data.one.gov.hk/ST942F.JPG
K121F,K121F.JPG,廣東道近梳士巴利道,835512,817290,http://tdcctv.data.one.gov.hk/K121F.JPG
TL101F,TL101F.JPG,青朗公路近高埔新村,823996,833151,http://tdcctv.data.one.gov.hk/TL101F.JPG
TR706F,TR706F.JPG,屯門公路近港鐵兆康站,815928,830243,http://tdcctv.data.one.gov.hk/TR706F.JPG
TS101F,TS101F.JPG,南灣隧道西草灣入口,827720,822707,http://tdcctv.data.one.gov.hk/TS101F.JPG
